# Residuals   
# Time        	p_rgh         
0             	N/A
0.005         	9.999998e-01
0.01          	4.500977e-06
0.015         	1.750136e-06
0.02          	1.321562e-06
0.025         	1.375043e-06
0.03          	1.410301e-06
0.035         	1.408629e-06
0.04          	1.386565e-06
0.045         	1.327641e-06
0.05          	1.285235e-06
0.055         	1.245244e-06
0.06          	1.210253e-06
0.065         	1.170649e-06
0.07          	1.137297e-06
0.075         	1.103522e-06
0.08          	1.070562e-06
0.085         	1.040715e-06
0.09          	1.013036e-06
0.095         	9.869919e-07
0.1           	9.613463e-07
0.105         	9.514049e-07
0.11          	9.090228e-07
0.115         	8.911424e-07
0.12          	8.733628e-07
0.125         	8.508773e-07
0.13          	8.316896e-07
0.135         	8.110489e-07
0.14          	7.939862e-07
0.145         	7.756278e-07
0.15          	7.597648e-07
0.155         	7.436262e-07
0.16          	7.258780e-07
0.165         	7.096367e-07
0.17          	6.953858e-07
0.175         	6.793996e-07
0.18          	6.641968e-07
0.185         	6.476166e-07
0.19          	6.304058e-07
0.195         	6.147388e-07
0.2           	6.000187e-07
0.205         	5.844361e-07
0.21          	5.655603e-07
0.215         	5.498509e-07
0.22          	5.348407e-07
0.225         	5.166286e-07
0.23          	5.042229e-07
0.235         	4.931274e-07
0.24          	4.908035e-07
0.245         	5.121539e-07
0.25          	5.430118e-07
0.255         	5.769280e-07
0.26          	6.122299e-07
0.265         	6.508804e-07
0.27          	6.990040e-07
0.275         	7.197899e-07
0.28          	7.684044e-07
0.285         	8.183165e-07
0.29          	8.569553e-07
0.295         	8.932805e-07
0.3           	1.098569e-06
0.305         	9.189764e-07
0.31          	9.202306e-07
0.315         	1.071927e-06
0.32          	2.505014e-06
0.325         	1.217451e-06
0.33          	5.522486e-07
0.335         	4.276010e-07
0.34          	3.972195e-07
0.345         	3.662509e-07
0.35          	3.456057e-07
0.355         	3.227512e-07
0.36          	3.065628e-07
0.365         	2.918609e-07
0.37          	3.387093e-07
0.375         	4.526098e-07
0.38          	5.379224e-07
0.385         	6.042439e-07
0.39          	6.308143e-07
0.395         	6.402032e-07
0.4           	6.328153e-07
0.405         	6.159008e-07
0.41          	5.892048e-07
0.415         	5.547214e-07
0.42          	5.183572e-07
0.425         	5.034645e-07
0.43          	5.063990e-07
