# Residuals   
# Time        	p_rgh         
0             	N/A
0.0025        	1.000000e+00
0.005         	1.774192e-01
0.0075        	1.611038e-01
0.01          	1.354048e-01
0.0125        	6.403520e-02
0.015         	4.302657e-02
0.0175        	3.011048e-02
0.02          	2.244463e-02
0.0225        	1.820626e-02
0.025         	1.570613e-02
0.0275        	1.360031e-02
0.03          	1.219852e-02
0.0325        	1.128036e-02
0.035         	1.060603e-02
0.0375        	1.002233e-02
0.04          	9.422958e-03
0.0425        	8.988569e-03
0.045         	8.548523e-03
0.0475        	8.090754e-03
0.05          	7.753687e-03
0.0525        	7.437049e-03
0.055         	7.180017e-03
0.0575        	6.861159e-03
0.06          	6.664934e-03
0.0625        	6.441570e-03
0.065         	6.224059e-03
0.0675        	6.014798e-03
0.07          	5.872040e-03
0.0725        	5.700142e-03
0.075         	5.571176e-03
0.0775        	5.447222e-03
0.08          	5.327692e-03
0.0825        	5.286017e-03
0.085         	5.198598e-03
0.0875        	5.119395e-03
0.09          	5.040576e-03
0.0925        	4.955790e-03
0.095         	4.903632e-03
0.0975        	4.819881e-03
0.1           	4.734510e-03
0.1025        	4.626661e-03
0.105         	4.549136e-03
0.1075        	4.526311e-03
0.11          	4.537046e-03
0.1125        	4.501892e-03
0.115         	4.526152e-03
0.1175        	4.586123e-03
0.12          	4.614101e-03
0.1225        	4.658937e-03
0.125         	4.725306e-03
0.1275        	4.648253e-03
0.13          	4.667561e-03
0.1325        	4.617697e-03
0.135         	4.568279e-03
0.1375        	4.548782e-03
0.14          	4.562861e-03
0.1425        	4.589598e-03
0.145         	4.639875e-03
0.1475        	4.716112e-03
0.15          	4.727200e-03
0.1525        	4.743834e-03
0.155         	4.764743e-03
0.1575        	4.741463e-03
0.16          	4.683119e-03
0.1625        	4.649003e-03
0.165         	4.598742e-03
0.1675        	4.632967e-03
0.17          	4.536287e-03
0.1725        	4.539271e-03
0.175         	4.494407e-03
0.1775        	4.419725e-03
0.18          	4.396971e-03
0.1825        	4.437685e-03
0.185         	4.382510e-03
0.1875        	4.287407e-03
0.19          	4.228065e-03
0.1925        	4.216254e-03
0.195         	4.242716e-03
0.1975        	4.278655e-03
0.2           	4.303986e-03
0.2025        	4.251928e-03
0.205         	4.257233e-03
0.2075        	4.252373e-03
0.21          	4.227057e-03
0.2125        	4.189569e-03
0.215         	4.158157e-03
0.2175        	4.263001e-03
0.22          	4.121854e-03
0.2225        	4.098770e-03
0.225         	4.097878e-03
0.2275        	4.121744e-03
0.23          	4.139489e-03
0.2325        	4.117879e-03
0.235         	4.077608e-03
0.2375        	4.083386e-03
0.24          	4.076311e-03
0.2425        	4.093323e-03
0.245         	4.105669e-03
0.2475        	4.030240e-03
0.25          	3.967035e-03
0.2525        	3.940541e-03
0.255         	3.945904e-03
0.2575        	3.934474e-03
0.26          	3.937636e-03
0.2625        	3.915736e-03
0.265         	3.932006e-03
0.2675        	3.936103e-03
0.27          	3.921310e-03
0.2725        	3.904291e-03
0.275         	4.392493e-03
0.2775        	4.075033e-03
0.28          	3.853336e-03
0.2825        	3.725667e-03
0.285         	3.759643e-03
0.2875        	3.820496e-03
0.29          	3.849000e-03
0.2925        	3.860811e-03
0.295         	3.842127e-03
0.2975        	3.806641e-03
0.3           	3.762931e-03
0.3025        	3.735760e-03
0.305         	3.746303e-03
0.3075        	3.758480e-03
0.31          	3.710025e-03
0.3125        	3.692796e-03
0.315         	3.717558e-03
0.3175        	3.762357e-03
0.32          	3.792741e-03
0.3225        	3.786564e-03
0.325         	3.789150e-03
0.3275        	3.789367e-03
0.33          	3.789245e-03
0.3325        	3.714537e-03
0.335         	3.664560e-03
0.3375        	3.613603e-03
0.34          	3.582885e-03
0.3425        	3.626130e-03
0.345         	3.692725e-03
0.3475        	3.747259e-03
0.35          	3.757964e-03
0.3525        	3.742094e-03
0.355         	3.677571e-03
0.3575        	3.642600e-03
0.36          	3.640542e-03
0.3625        	3.612216e-03
0.365         	3.583943e-03
0.3675        	3.577802e-03
0.37          	3.602997e-03
0.3725        	3.643065e-03
0.375         	3.689620e-03
0.3775        	3.668060e-03
0.38          	3.656960e-03
0.3825        	3.607681e-03
0.385         	3.570002e-03
0.3875        	3.562123e-03
0.39          	3.546640e-03
0.3925        	3.668036e-03
0.395         	3.594372e-03
0.3975        	3.703431e-03
0.4           	3.607585e-03
0.4025        	3.581698e-03
0.405         	3.585647e-03
0.4075        	3.569792e-03
0.41          	3.543734e-03
0.4125        	3.502205e-03
0.415         	3.445327e-03
0.4175        	3.432505e-03
0.42          	3.422621e-03
0.4225        	3.430546e-03
0.425         	3.447039e-03
0.4275        	3.458727e-03
0.43          	3.446010e-03
0.4325        	3.446066e-03
0.435         	3.425276e-03
0.4375        	3.404286e-03
0.44          	3.358033e-03
0.4425        	3.335038e-03
0.445         	3.313705e-03
0.4475        	3.293065e-03
0.45          	3.326237e-03
0.4525        	3.307302e-03
0.455         	3.296101e-03
0.4575        	3.291177e-03
0.46          	3.301918e-03
0.4625        	3.302605e-03
0.465         	3.291531e-03
0.4675        	3.241501e-03
0.47          	3.221665e-03
0.4725        	3.217942e-03
0.475         	3.198711e-03
0.4775        	3.189222e-03
0.48          	3.196843e-03
0.4825        	3.172123e-03
0.485         	3.162628e-03
0.4875        	3.167690e-03
0.49          	3.188962e-03
0.4925        	3.205244e-03
0.495         	3.200378e-03
0.4975        	3.160042e-03
0.5           	3.128482e-03
0.5025        	3.124643e-03
0.505         	3.094799e-03
0.5075        	3.115449e-03
0.51          	3.089758e-03
0.5125        	3.331057e-03
0.515         	3.239850e-03
0.5175        	3.144059e-03
0.52          	3.145925e-03
0.5225        	3.133259e-03
0.525         	3.129583e-03
0.5275        	3.121928e-03
0.53          	3.110570e-03
0.5325        	3.091411e-03
0.535         	3.100308e-03
0.5375        	3.108650e-03
0.54          	3.113933e-03
0.5425        	3.104747e-03
