# Region      : all 
# Cells       : 16000
# Volume      : 2.000000e-03
# Time        	volAverage(alpha.air)
0             	0.000000e+00
0.05          	5.238182e-04
0.1           	1.023818e-03
0.15          	1.523891e-03
0.2           	2.023891e-03
0.25          	2.541000e-03
0.3           	3.041000e-03
0.35          	3.541000e-03
0.4           	4.041000e-03
0.45          	4.541000e-03
0.5           	5.041000e-03
0.55          	5.541000e-03
0.6           	6.041001e-03
0.65          	6.541001e-03
0.7           	7.041001e-03
0.75          	7.541001e-03
0.8           	8.041001e-03
0.85          	8.541001e-03
0.9           	9.041013e-03
0.95          	9.541014e-03
1             	1.004101e-02
1.05          	1.054101e-02
1.1           	1.104101e-02
1.15          	1.154101e-02
1.2           	1.204101e-02
1.25          	1.254103e-02
1.3           	1.304109e-02
1.35          	1.354109e-02
1.4           	1.404109e-02
1.45          	1.454109e-02
1.5           	1.504109e-02
1.55          	1.554109e-02
1.6           	1.604110e-02
1.65          	1.654111e-02
1.7           	1.704111e-02
1.75          	1.754111e-02
1.8           	1.804111e-02
1.85          	1.854111e-02
1.9           	1.904111e-02
1.95          	1.954111e-02
2             	2.004111e-02
2.05          	2.054111e-02
2.1           	2.104111e-02
2.15          	2.154111e-02
2.2           	2.204111e-02
2.25          	2.254111e-02
2.3           	2.304111e-02
2.35          	2.354111e-02
2.4           	2.404112e-02
2.45          	2.454552e-02
2.5           	2.504552e-02
2.55          	2.554552e-02
2.6           	2.604552e-02
2.65          	2.654552e-02
2.7           	2.704552e-02
2.75          	2.754552e-02
2.8           	2.804565e-02
2.85          	2.854795e-02
2.9           	2.904797e-02
2.95          	2.954797e-02
3             	3.004852e-02
3.05          	3.054852e-02
3.1           	3.105336e-02
3.15          	3.155336e-02
3.2           	3.205336e-02
3.25          	3.255338e-02
3.3           	3.305338e-02
3.35          	3.355338e-02
3.4           	3.405363e-02
3.45          	3.455363e-02
3.5           	3.505377e-02
3.55          	3.555377e-02
3.6           	3.606431e-02
3.65          	3.656431e-02
3.7           	3.706432e-02
3.75          	3.756427e-02
3.8           	3.807026e-02
3.85          	3.856547e-02
3.9           	3.904921e-02
3.95          	3.950537e-02
4             	3.990572e-02
4.05          	4.021678e-02
4.1           	4.041706e-02
4.15          	4.049883e-02
4.2           	4.046634e-02
4.25          	4.034261e-02
4.3           	4.013287e-02
4.35          	3.986119e-02
4.4           	3.953935e-02
